[310276] ['1/3', '3/5', '2/3', '5/7', '9'] -> (9 / 5/7 - 3/5) / (1/3 / 2/3)
[310277] ['2/7', '7/8', '9/8', '3/2', '5'] -> 3/2 + 9/8 * 5 / (2/7 * 7/8)
[310278] ['1/5', '1/3', '8/7', '3/2', '3'] -> 8/7 * (3 / (1/3 - 1/5) - 3/2)
[310279] ['2/7', '1', '5/4', '5/2', '8/3'] -> 8/3 * (5/2 / 2/7 - (1 - 5/4))
[310280] ['1/7', '3/4', '9/7', '7/3', '8'] -> 8 * (7/3 / 3/4 - 1/7 / 9/7)
[310281] ['5/6', '6/5', '9/7', '3/2', '7'] -> (9/7 + 5/6 * 6/5) * 3/2 * 7
[310282] ['1/3', '3/5', '2/3', '7/9', '9'] -> 1/3 + (7/9 + 9 / 3/5) / 2/3
[310283] ['3/4', '6/7', '7/8', '1', '8/5'] -> 6/7 / (3/4 - 1 / (7/8 * 8/5))
[310284] ['1/5', '1/3', '8/7', '7/4', '3'] -> 8/7 / (3 / 7/4 - 1/3 / 1/5)
[310285] ['1/7', '3/4', '9/7', '5/2', '8'] -> 9/7 / 1/7 + 8 * 3/4 * 5/2
[310286] ['2/7', '7/8', '9/8', '7/4', '5'] -> (7/4 + 5) / (9/8 * 2/7 * 7/8)
[310287] ['5/9', '8/9', '8/5', '9/5', '7'] -> (8/5 + 7) / (8/9 - 5/9) - 9/5
[310288] ['1/8', '1/6', '2/7', '8/5', '8'] -> 8 / (1/8 / 2/7 - 1/6 / 8/5)
[310289] ['5/6', '6/5', '9/7', '5/3', '7'] -> 9/7 * 7 * (5/3 + 5/6 * 6/5)
[310290] ['1/3', '3/5', '2/3', '6/7', '9'] -> (6/7 + 2/3 / 1/3) * (9 - 3/5)
[310291] ['2/7', '1', '5/4', '8/3', '8/3'] -> 8/3 * 8/3 * (5/4 / 2/7 - 1)
[310292] ['5/9', '8/9', '8/5', '9/4', '7'] -> 8/5 * 9/4 * (7 + 5/9 - 8/9)
[310293] ['5/9', '4/5', '4/5', '2', '7/2'] -> 4/5 / (5/9 * (7/2 - 2) - 4/5)
[310294] ['1/3', '3/5', '2/3', '7/8', '9'] -> 9 * 1/3 / 3/5 / (7/8 - 2/3)
[310295] ['5/6', '6/5', '9/7', '7/4', '7'] -> (6/5 + 9/7 / 5/6) * (7/4 + 7)
[310296] ['3/4', '6/7', '7/8', '1', '7/3'] -> (1 + 6/7 * 7/3) / (7/8 - 3/4)
[310297] ['2/7', '1', '5/4', '8/3', '7/2'] -> (7/2 / 2/7 - 1) / (5/4 / 8/3)
[310298] ['1/7', '4/7', '9/8', '5/3', '2'] -> 1/7 / (9/8 - (4/7 + 5/3) / 2)
[310299] ['1/3', '3/5', '2/3', '9/8', '9'] -> 9 / (3/5 * (9/8 - 1/3 / 2/3))
[310300] ['1/7', '3/4', '4/3', '3/2', '8'] -> 3/2 / (1/7 - 3/4 / (4/3 + 8))
[310301] ['1/5', '1/3', '8/7', '5/2', '3'] -> 5/2 / (1/3 / 8/7) * (3 - 1/5)
[310302] ['3/4', '6/7', '7/8', '1', '5/2'] -> 6/7 / (7/8 - 3/4) * (1 + 5/2)
[310303] ['5/6', '6/5', '9/7', '9/5', '7'] -> (5/6 + 9/7 / 6/5) * 9/5 * 7
[310304] ['5/9', '4/5', '5/6', '5/6', '2'] -> 5/6 / (5/9 - 5/6 / (4/5 * 2))
[310305] ['1/7', '3/4', '4/3', '8/5', '8'] -> 8/5 * (8 + 4/3 / (1/7 / 3/4))
[310306] ['1/3', '3/5', '2/3', '8/7', '9'] -> (1/3 + 9) * (2/3 + 8/7 / 3/5)
[310307] ['2/7', '7/8', '9/8', '8/3', '5'] -> 5 / (2/7 * (9/8 + 8/3) - 7/8)
[310308] ['5/9', '8/9', '5/3', '9/4', '7'] -> (5/3 + 7) / (5/9 * 9/4 - 8/9)
[310309] ['1/7', '4/7', '9/8', '2', '7/3'] -> (1/7 + 2) / (4/7 - 9/8 / 7/3)
[310310] ['2/7', '1', '5/4', '7/2', '9/2'] -> 5/4 + 7/2 + (1 + 9/2) / 2/7
[310311] ['1/3', '3/5', '2/3', '7/6', '9'] -> 1/3 + 7/6 + 9 / (3/5 * 2/3)
[310312] ['2/7', '7/8', '9/8', '7/2', '5'] -> (5 + 2/7 * 7/2) / (9/8 - 7/8)
[310313] ['1/9', '1', '9/7', '9/5', '7/3'] -> (1 + 7/3 * 9/7 / 9/5) / 1/9
[310314] ['1/5', '1/3', '8/7', '3', '9/2'] -> 8/7 * 9/2 * (3 + 1/3 / 1/5)
[310315] ['4/9', '5/9', '5/7', '6/7', '9'] -> 6/7 + (9 + 5/7 / 5/9) / 4/9
[310316] ['3/7', '5/6', '5/6', '8/5', '5'] -> (5/6 + 5 / 3/7) / (5/6 / 8/5)
[310317] ['1/5', '1/3', '7/6', '5/4', '3'] -> 3 / (5/4 * (1/3 - 1/5 * 7/6))
[310318] ['1/7', '3/4', '4/3', '5/2', '8'] -> 8 / (1/7 * 4/3) / (5/2 - 3/4)
[310319] ['5/6', '6/5', '4/3', '7/5', '7'] -> (4/3 + 7) * (6/5 + 7/5 / 5/6)
[310320] ['5/9', '8/9', '7/4', '7/4', '7'] -> (7 + 7/4 / 7/4) / (8/9 - 5/9)
[310321] ['5/9', '4/5', '5/6', '7/6', '2'] -> 4/5 * 5/6 / (7/6 / 2 - 5/9)
[310322] ['5/6', '6/5', '4/3', '3/2', '7'] -> 7 / (4/3 - 3/2 * 5/6 / 6/5)
[310323] ['3/7', '5/6', '5/6', '7/4', '5'] -> 5 / (5/6 - 7/4 * 3/7 * 5/6)
[310324] ['4/9', '5/9', '5/7', '9/8', '9'] -> 9 / 9/8 / (5/9 / 5/7 - 4/9)
[310325] ['1/3', '3/5', '5/7', '3/4', '9'] -> (9 - 3/5) / (3/4 * 1/3 / 5/7)
[310326] ['1/5', '1/3', '7/6', '7/5', '3'] -> (7/6 * (7/5 + 3) - 1/3) / 1/5
[310327] ['3/4', '6/7', '8/9', '1', '5/4'] -> 1 / 6/7 / (3/4 * 5/4 - 8/9)
[310328] ['2/7', '7/8', '8/7', '7/5', '5'] -> (5 / (7/8 / 7/5) - 8/7) / 2/7
[310329] ['1/3', '3/5', '5/7', '7/9', '9'] -> 9 * (7/9 / (1/3 * 5/7) - 3/5)
[310330] ['3/7', '5/6', '5/6', '9/5', '5'] -> 9/5 * (5/6 + 5/6 + 5 / 3/7)
[310331] ['5/9', '8/9', '7/4', '9/4', '7'] -> (7/4 + 7) / (8/9 - 5/9) - 9/4
[310332] ['1/5', '1/3', '7/6', '5/3', '3'] -> (3 + 5/3 / (1/5 * 1/3)) / 7/6
[310333] ['1/8', '1/6', '3/8', '2/5', '8'] -> 1/8 * 8 / (1/6 / 2/5 - 3/8)
[310334] ['5/9', '4/5', '5/6', '7/5', '2'] -> 4/5 / (7/5 / 2 - 5/9 / 5/6)
[310335] ['5/9', '8/9', '7/4', '7/3', '7'] -> 7 / (7/4 - 7/3 * 5/9 / 8/9)
[310336] ['1/3', '3/5', '5/7', '4/5', '9'] -> (9 - 5/7 * (3/5 + 4/5)) / 1/3
[310337] ['1/7', '3/4', '7/5', '3/2', '8'] -> 7/5 * 8 * (1/7 + 3/2 / 3/4)
[310338] ['3/7', '5/6', '5/6', '9/4', '5'] -> 9/4 * (5 / 3/7 - 5/6 / 5/6)
[310339] ['4/9', '5/9', '5/7', '6/5', '9'] -> 4/9 * 9 / (5/7 - 5/9) - 6/5
[310340] ['1/7', '3/4', '7/5', '8/5', '8'] -> (8 - 8/5) / (7/5 * 1/7 / 3/4)
[310341] ['1/5', '1/3', '7/6', '9/4', '3'] -> 7/6 * 3 / (1/3 - 1/5) - 9/4
[310342] ['5/9', '4/5', '5/6', '8/5', '2'] -> 8/5 * 2 / (4/5 - 5/9 / 5/6)
[310343] ['2/7', '1', '9/7', '9/7', '7/3'] -> (1 + 9/7) * 7/3 / (2/7 / 9/7)
[310344] ['1/7', '4/7', '7/6', '7/6', '2'] -> (4/7 + 2) * (7/6 + 7/6 / 1/7)
[310345] ['1/3', '3/5', '5/7', '7/8', '9'] -> 7/8 * (3/5 * 5/7 + 9 / 1/3)
[310346] ['4/9', '5/9', '5/7', '4/3', '9'] -> 9 * (4/9 / 5/9 + 4/3 / 5/7)
[310347] ['3/4', '6/7', '8/9', '1', '7/4'] -> 1 / (3/4 * 7/4) / (8/9 - 6/7)
[310348] ['1/3', '3/5', '5/7', '8/9', '9'] -> (1/3 + 9 / (3/5 * 5/7)) / 8/9
[310349] ['2/7', '7/8', '8/7', '7/3', '5'] -> (5 + 8/7 / 2/7) / (7/8 / 7/3)
[310350] ['1/7', '4/7', '7/6', '9/7', '2'] -> (2 + 4/7 * 7/6) / (1/7 / 9/7)
[310351] ['5/6', '6/5', '7/5', '5/3', '7'] -> (5/6 + 5/3) * (7 + 6/5 + 7/5)
[310352] ['1/7', '3/4', '7/5', '7/3', '8'] -> 7/5 * 8 * (7/3 - 1/7 / 3/4)
[310353] ['1/3', '3/5', '5/7', '9/8', '9'] -> 9/8 * (1/3 + 9 / (3/5 * 5/7))
[310354] ['2/7', '7/8', '8/7', '8/3', '5'] -> 5 / (7/8 - 8/3 * 2/7 / 8/7)
[310355] ['5/9', '8/9', '9/5', '8/3', '7'] -> (7 + 5/9 * 9/5) / (8/9 / 8/3)
[310356] ['3/7', '5/6', '6/7', '6/7', '5'] -> (6/7 + 6/7) * 5 / (3/7 * 5/6)
[310357] ['1/8', '1/6', '3/8', '8/7', '8'] -> (8 / 8/7 - 3/8 / 1/8) / 1/6
[310358] ['3/4', '6/7', '8/9', '1', '7/3'] -> 7/3 / (3/4 / 6/7) / (1 - 8/9)
[310359] ['5/9', '4/5', '5/6', '2', '9/4'] -> 4/5 / ((9/4 - 5/9) / 5/6 - 2)
[310360] ['4/9', '5/9', '5/7', '5/3', '9'] -> 9 * ((5/9 + 5/3) / 5/7 - 4/9)
[310361] ['5/6', '6/5', '7/5', '9/4', '7'] -> 7 / 5/6 / (6/5 + 7/5 - 9/4)
[310362] ['1/9', '1', '9/7', '7/3', '8/3'] -> (7/3 * (1 + 9/7) - 8/3) / 1/9
[310363] ['1/3', '3/5', '5/7', '7/6', '9'] -> (3/5 + 9) * 7/6 / (1/3 / 5/7)
[310364] ['4/9', '5/9', '5/7', '7/4', '9'] -> 9 * (4/9 + 7/4 * (5/9 + 5/7))
[310365] ['5/9', '8/9', '9/4', '9/4', '7'] -> (7 + 9/4 / 9/4) / (8/9 - 5/9)
[310366] ['3/4', '6/7', '8/9', '1', '7/2'] -> 1 / 7/2 / (6/7 * 8/9 - 3/4)
[310367] ['1/8', '1/6', '3/8', '8/5', '8'] -> 8/5 * (1/8 + 8) / (1/6 + 3/8)
[310368] ['1/7', '4/7', '7/6', '2', '9/4'] -> 2 / (4/7 - 1/7 * (7/6 + 9/4))
[310369] ['5/6', '6/5', '7/5', '7/2', '7'] -> (6/5 + 7 / 5/6) / (7/5 / 7/2)
[310370] ['1/5', '1/3', '5/4', '5/3', '3'] -> (1/3 + 5/3) * 3 / (1/5 * 5/4)
[310371] ['1/9', '1', '9/7', '5/2', '5/2'] -> (1 + 5/2 / 9/7) / 1/9 - 5/2
[310372] ['1/8', '1/6', '3/8', '9/4', '8'] -> 8 / (1/6 * (9/4 + 1/8 - 3/8))
[310373] ['1/3', '3/5', '5/7', '7/5', '9'] -> 7/5 * (5/7 / 1/3 + 9 / 3/5)
[310374] ['2/7', '1', '9/7', '4/3', '9/4'] -> (1 + 9/7) * 9/4 / (2/7 / 4/3)
[310375] ['5/9', '8/9', '9/4', '8/3', '7'] -> (7 - 8/9 * 9/4) / (5/9 / 8/3)
[310376] ['4/9', '5/9', '5/7', '5/2', '9'] -> 5/2 * (9 + 5/9 / 5/7) - 4/9
[310377] ['2/7', '7/8', '7/6', '3/2', '5'] -> 5 / (2/7 * 7/6) / (3/2 - 7/8)
[310378] ['1/3', '3/5', '5/7', '3/2', '9'] -> (9 / 5/7 - 3/5) / (1/3 * 3/2)
[310379] ['5/9', '8/9', '9/4', '7/2', '7'] -> 9/4 * (5/9 + 7 + 8/9 * 7/2)
[310380] ['4/9', '5/9', '5/7', '8/3', '9'] -> (4/9 + 8/3) * (9 - 5/7 / 5/9)
[310381] ['1/7', '4/7', '6/5', '6/5', '2'] -> (2 - 4/7) / (1/7 / (6/5 + 6/5))
[310382] ['1/5', '1/3', '9/7', '9/7', '3'] -> (3 + 9/7 / (1/5 * 9/7)) / 1/3
[310383] ['3/4', '6/7', '1', '9/8', '5/4'] -> 1 / (9/8 / 3/4 - 5/4 / 6/7)
[310384] ['1/3', '3/5', '5/7', '7/4', '9'] -> (1/3 + 5/7 / 3/5) * 7/4 * 9
[310385] ['1/7', '3/4', '3/2', '5/2', '8'] -> 3/2 / 1/7 / (3/4 - 5/2 / 8)
[310386] ['1/7', '4/7', '6/5', '9/7', '2'] -> (9/7 + (4/7 + 2) / 6/5) / 1/7
[310387] ['3/7', '5/6', '6/7', '8/5', '5'] -> 8/5 * 5 / (5/6 - 3/7 / 6/7)
[310388] ['1/3', '3/5', '5/7', '9/4', '9'] -> 1/3 * 9 / (5/7 - 3/5) - 9/4
[310389] ['1/7', '3/4', '3/2', '8/3', '8'] -> (3/4 + 3/2) * (8/3 / 1/7 - 8)
[310390] ['1/5', '1/3', '9/7', '5/3', '3'] -> (9/7 + 3) / (1/3 / (1/5 + 5/3))
[310391] ['5/6', '6/5', '3/2', '7/2', '7'] -> 7/2 * 7 - (3/2 - 5/6 * 6/5)
[310392] ['4/9', '5/9', '3/4', '4/5', '9'] -> (4/5 / 4/9 + 9 / 5/9) / 3/4
[310393] ['1/7', '4/7', '6/5', '4/3', '2'] -> (6/5 * (4/3 + 2) - 4/7) / 1/7
[310394] ['3/4', '6/7', '1', '9/8', '3/2'] -> 1 / (3/4 / (3/2 - 6/7) - 9/8)
[310395] ['2/7', '7/8', '7/6', '9/4', '5'] -> (9/4 / 7/8 + 5 / 7/6) / 2/7
[310396] ['1/3', '3/5', '5/7', '5/2', '9'] -> (3/5 + 1/3 / 5/7) * 5/2 * 9
[310397] ['5/9', '8/9', '8/3', '7/2', '7'] -> 8/3 / (5/9 - 8/9 * 7/2 / 7)
[310398] ['1/8', '1/6', '2/5', '7/9', '8'] -> (8 / 2/5 - 1/6 / 1/8) / 7/9
[310399] ['3/7', '5/6', '6/7', '9/4', '5'] -> 5 / (5/6 * (9/4 - 6/7 / 3/7))
[310400] ['1/3', '3/5', '5/7', '7/2', '9'] -> (1/3 + 3/5 * 5/7) * 7/2 * 9
[310401] ['2/7', '7/8', '7/6', '5/2', '5'] -> 5 / (2/7 * 5/2) / (7/6 - 7/8)
[310402] ['1/7', '3/4', '8/5', '9/5', '8'] -> 3/4 / 9/5 * (8/5 + 8 / 1/7)
[310403] ['3/7', '5/6', '6/7', '7/3', '5'] -> 5 * (6/7 / 3/7 + 7/3 / 5/6)
[310404] ['1/8', '1/6', '2/5', '8/9', '8'] -> (1/6 / 1/8 + 8 / 2/5) / 8/9
[310405] ['1/7', '4/7', '6/5', '2', '9/4'] -> (2 - 4/7 / 6/5) / (1/7 / 9/4)
[310406] ['1/7', '3/4', '8/5', '9/4', '8'] -> 8 / (8/5 * 1/7 / 3/4) - 9/4
[310407] ['2/7', '7/8', '7/6', '8/3', '5'] -> 8/3 + (7/6 + 5 / 2/7) / 7/8
