[328006] ['1/6', '3/8', '5/7', '5/4', '8'] -> 8 / (5/7 * (1/6 + 3/8 / 5/4))
[328007] ['1/5', '4/5', '4/5', '8/7', '3'] -> 4/5 / (4/5 / 8/7 / 3 - 1/5)
[328008] ['1/8', '3/8', '1', '7/6', '9/5'] -> 9/5 * (1 + (3/8 + 7/6) / 1/8)
[328009] ['1/8', '5/9', '9/7', '7/2', '8'] -> (5/9 * 9/7 + 8 / 7/2) / 1/8
[328010] ['4/7', '9/8', '4/3', '3/2', '7'] -> 7 / (9/8 + 3/2 - 4/3 / 4/7)
[328011] ['1/3', '5/8', '5/6', '9/5', '5'] -> 5 / (5/8 / (1/3 * 9/5) - 5/6)
[328012] ['4/7', '9/8', '4/3', '8/5', '7'] -> 9/8 * 8/5 * 7 * (4/7 + 4/3)
[328013] ['1/8', '5/9', '9/7', '9/2', '8'] -> (5/9 + 8 / 9/2) / (1/8 / 9/7)
[328014] ['4/9', '2/3', '5/6', '7/4', '5'] -> 5 / (5/6 * (7/4 - 2/3 / 4/9))
[328015] ['1/6', '1/5', '4/7', '2', '7/3'] -> 4/7 / (2 / 7/3 - 1/6 / 1/5)
[328016] ['1/3', '5/7', '7/9', '8/9', '1'] -> 8/9 / 7/9 / (1/3 + 5/7 - 1)
[328017] ['4/7', '9/8', '4/3', '5/3', '7'] -> 4/7 * 7 / (5/3 - 9/8 * 4/3)
[328018] ['1/6', '3/8', '5/7', '8/5', '8'] -> 5/7 * (8 + 8/5 / (1/6 * 3/8))
[328019] ['1/8', '3/8', '1', '6/5', '5/4'] -> (5/4 / (3/8 / 6/5) - 1) / 1/8
[328020] ['9/8', '7/6', '5/4', '5/2', '7'] -> 7 / (9/8 + 7/6 - 5/2 / 5/4)
[328021] ['1/5', '4/5', '4/5', '4/3', '3'] -> (3 / (1/5 / 4/3) - 4/5) / 4/5
[328022] ['1/5', '4/5', '4/5', '7/5', '3'] -> 3 * (4/5 / 4/5 + 7/5 / 1/5)
[328023] ['4/7', '4/5', '6/7', '6/7', '2'] -> 6/7 / (4/7 - 6/7 / (4/5 * 2))
[328024] ['1/8', '3/8', '1', '6/5', '4/3'] -> 6/5 * (1 / (1/8 * 3/8) - 4/3)
[328025] ['1/3', '5/7', '7/9', '1', '7/6'] -> (1/3 + 1) / (5/7 * 7/6 - 7/9)
[328026] ['1/6', '3/8', '5/7', '9/5', '8'] -> (9/5 + 8 / 5/7) / (1/6 + 3/8)
[328027] ['1/3', '5/8', '6/7', '6/5', '5'] -> 5 / (5/8 - 1/3) / (6/7 / 6/5)
[328028] ['9/8', '7/6', '9/7', '9/7', '7'] -> 9/7 * 7 / (7/6 * 9/7 - 9/8)
[328029] ['4/7', '9/8', '4/3', '9/4', '7'] -> 4/3 * 7 * (4/7 + 9/4 / 9/8)
[328030] ['1/5', '4/5', '4/5', '9/4', '3'] -> (9/4 + 3 / 4/5) / (1/5 / 4/5)
[328031] ['9/8', '7/6', '9/7', '4/3', '7'] -> (7/6 + 9/8 * 4/3) * 9/7 * 7
[328032] ['4/5', '8/9', '1', '9/8', '5/2'] -> 5/2 / (9/8 * (8/9 - 4/5)) - 1
[328033] ['1/6', '3/8', '5/7', '5/2', '8'] -> 3/8 * 8 + 5/2 / (1/6 * 5/7)
[328034] ['1/8', '3/8', '1', '6/5', '5/3'] -> (6/5 / 1/8 - 1 / 5/3) / 3/8
[328035] ['1/8', '5/9', '7/5', '3/2', '8'] -> 7/5 + 8 * (1/8 + 3/2 / 5/9)
[328036] ['1/6', '1/5', '3/5', '7/9', '2'] -> (2 + 7/9 / (1/6 / 3/5)) / 1/5
[328037] ['1/5', '4/5', '4/5', '3', '7/2'] -> 4/5 * 3 / (4/5 - 1/5 * 7/2)
[328038] ['4/5', '8/9', '1', '9/8', '8/3'] -> 8/3 / 8/9 / (1 / 4/5 - 9/8)
[328039] ['9/8', '7/6', '9/7', '3/2', '7'] -> 7 / (9/8 / 9/7) / (3/2 - 7/6)
[328040] ['4/9', '2/3', '6/7', '8/7', '5'] -> (2/3 + 5 * (6/7 + 8/7)) / 4/9
[328041] ['1/6', '3/8', '5/7', '7/2', '8'] -> 1/6 + 5/7 * 7/2 + 8 / 3/8
[328042] ['1/8', '5/9', '7/5', '8/5', '8'] -> 8 / 5/9 - (8/5 - 7/5 / 1/8)
