[1] ['1', '1', '7'] -> 7 / (1 + 1) mod 41
[2] ['1', '2', '14'] -> 1 / (14 - 2) mod 41
[3] ['1', '12', '19'] -> (12 * 19) + 1 mod 41
[4] ['6', '7', '32'] -> 32 - (7 / 6) mod 41
[5] ['6', '7', '33'] -> (6 + 7) / 33 mod 41
[6] ['6', '7', '39'] -> (39 + 6) / 7 mod 41
[7] ['6', '8', '11'] -> 8 - (11 * 6) mod 41
[8] ['6', '8', '23'] -> 6 / (23 + 8) mod 41
[9] ['6', '8', '27'] -> 8 - (27 / 6) mod 41
[10] ['6', '8', '30'] -> (30 * 6) + 8 mod 41
[11] ['6', '8', '36'] -> 6 - (8 / 36) mod 41
[12] ['6', '8', '37'] -> (37 + 8) * 6 mod 41
[13] ['6', '9', '10'] -> 10 / (6 - 9) mod 41
[14] ['1', '12', '20'] -> 12 / (1 + 20) mod 41
[15] ['6', '9', '12'] -> (12 + 9) / 6 mod 41
[16] ['6', '9', '13'] -> (13 - 9) * 6 mod 41
[17] ['6', '9', '19'] -> 6 / (9 - 19) mod 41
[18] ['6', '9', '22'] -> 6 / (22 + 9) mod 41
[19] ['6', '9', '23'] -> (23 * 6) + 9 mod 41
[20] ['6', '9', '26'] -> (26 * 6) - 9 mod 41
[21] ['6', '9', '31'] -> 31 / (9 - 6) mod 41
[22] ['6', '9', '34'] -> (34 / 6) - 9 mod 41
[23] ['6', '9', '40'] -> 6 / (40 - 9) mod 41
[24] ['6', '10', '10'] -> (10 * 10) + 6 mod 41
[25] ['1', '12', '23'] -> 23 / (1 - 12) mod 41
[26] ['6', '10', '11'] -> (10 + 11) / 6 mod 41
[27] ['6', '10', '15'] -> 15 / (10 + 6) mod 41
[28] ['6', '10', '18'] -> (6 / 18) + 10 mod 41
[29] ['6', '10', '22'] -> (10 + 6) * 22 mod 41
[30] ['6', '10', '27'] -> 27 / (6 - 10) mod 41
[31] ['6', '10', '29'] -> (29 + 6) / 10 mod 41
[32] ['6', '10', '30'] -> (10 - 30) / 6 mod 41
[33] ['6', '10', '32'] -> 10 / (32 + 6) mod 41
[34] ['6', '10', '37'] -> (10 / 37) + 6 mod 41
[35] ['6', '11', '16'] -> (6 / 11) + 16 mod 41
[36] ['1', '12', '25'] -> 25 / (1 + 12) mod 41
[37] ['6', '11', '17'] -> 6 - (11 * 17) mod 41
[38] ['6', '11', '20'] -> 6 / (11 + 20) mod 41
[39] ['6', '11', '21'] -> 6 / (11 - 21) mod 41
[40] ['6', '11', '25'] -> (6 / 11) - 25 mod 41
[41] ['6', '11', '31'] -> (11 - 31) / 6 mod 41
[42] ['6', '11', '37'] -> (37 / 6) + 11 mod 41
[43] ['6', '11', '39'] -> 39 / (11 + 6) mod 41
[44] ['6', '12', '13'] -> 6 - (12 / 13) mod 41
[45] ['6', '12', '16'] -> (16 - 12) * 6 mod 41
[46] ['6', '12', '25'] -> (12 / 25) - 6 mod 41
[47] ['1', '12', '26'] -> (12 * 26) - 1 mod 41
[48] ['6', '12', '27'] -> 12 / (27 - 6) mod 41
[49] ['6', '12', '28'] -> (12 / 28) + 6 mod 41
[50] ['6', '12', '34'] -> (12 * 6) + 34 mod 41
[51] ['6', '12', '36'] -> (36 + 6) / 12 mod 41
[52] ['6', '12', '38'] -> (6 / 12) - 38 mod 41
[53] ['6', '12', '39'] -> 12 - (39 * 6) mod 41
[54] ['6', '13', '13'] -> (13 * 6) - 13 mod 41
[55] ['6', '13', '16'] -> 13 - (16 / 6) mod 41
[56] ['6', '13', '18'] -> 6 / (13 + 18) mod 41
